id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_penanaman_pohon,satuan,tahun
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3601.46,HEKTAR,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,575.0,HEKTAR,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,HEKTAR,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,0.0,HEKTAR,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1932.12,HEKTAR,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11266.56,HEKTAR,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,765.0,HEKTAR,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6260.98,HEKTAR,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,11585.89,HEKTAR,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1907.0,HEKTAR,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2198.37,HEKTAR,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,465.81,HEKTAR,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1556.0,HEKTAR,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2855.22,HEKTAR,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,64.9,HEKTAR,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1609.56,HEKTAR,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1396.24,HEKTAR,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1782.87,HEKTAR,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,1.87,HEKTAR,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5705.36,HEKTAR,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,814.54,HEKTAR,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,60.64,HEKTAR,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0.95,HEKTAR,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,68.77,HEKTAR,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,86.53,HEKTAR,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,352.75,HEKTAR,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,8.28,HEKTAR,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1684.63,HEKTAR,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2614.61,HEKTAR,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.0,HEKTAR,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15750.66,HEKTAR,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,14649.64,HEKTAR,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2474.65,HEKTAR,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1858.26,HEKTAR,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2252.69,HEKTAR,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,265.1,HEKTAR,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1904.3,HEKTAR,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2514.25,HEKTAR,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,582.45,HEKTAR,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,663.41,HEKTAR,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,913.75,HEKTAR,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1175.09,HEKTAR,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,50.05,HEKTAR,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8221.01,HEKTAR,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,111.0,HEKTAR,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,2362.63,HEKTAR,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,160.0,HEKTAR,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12.0,HEKTAR,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,50.7,HEKTAR,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,1110.18,HEKTAR,2018
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1659.49,HEKTAR,2018
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3377.56,HEKTAR,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2354.82,HEKTAR,2018
140,32,JAWA BARAT,3205,KABUPATEN GARUT,838.28,HEKTAR,2018
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1377.185,HEKTAR,2018
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1287.93,HEKTAR,2018
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1601.67,HEKTAR,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,190.0,HEKTAR,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,868.26,HEKTAR,2018
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1356.94,HEKTAR,2018
