id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi_sampah,satuan,tahun
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,1228.6,TON PER HARI,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,616.08,TON PER HARI,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,185.83,TON PER HARI,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,991.93,TON PER HARI,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,309.91,TON PER HARI,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,2448.63,TON PER HARI,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,304.15,TON PER HARI,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,2387.08,TON PER HARI,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,1844.3,TON PER HARI,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,563.21,TON PER HARI,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,472.36,TON PER HARI,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,130.21,TON PER HARI,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1716.8,TON PER HARI,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,415.5,TON PER HARI,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,965.19,TON PER HARI,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2068.06,TON PER HARI,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,473.89,TON PER HARI,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,458.45,TON PER HARI,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,263.01,TON PER HARI,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,248.52,TON PER HARI,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,466.25,TON PER HARI,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,249.26,TON PER HARI,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,236.12,TON PER HARI,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,603.11,TON PER HARI,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,498.7,TON PER HARI,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,323.87,TON PER HARI,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,896.85,TON PER HARI,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,1600.71,TON PER HARI,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,663.54,TON PER HARI,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,171.21,TON PER HARI,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,1069.41,TON PER HARI,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,318.12,TON PER HARI,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,2441.12,TON PER HARI,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,308.37,TON PER HARI,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,2858.6,TON PER HARI,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,2272.07,TON PER HARI,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,592.62,TON PER HARI,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,465.23,TON PER HARI,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,128.34,TON PER HARI,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,2914.65,TON PER HARI,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1003.64,TON PER HARI,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1115.81,TON PER HARI,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1334.12,TON PER HARI,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,1144.01,TON PER HARI,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,753.06,TON PER HARI,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,560.57,TON PER HARI,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,537.25,TON PER HARI,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,3.15,TON PER HARI,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,515.7,TON PER HARI,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,436.96,TON PER HARI,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1071.05,TON PER HARI,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1012.45,TON PER HARI,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,384.43,TON PER HARI,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,934.4,TON PER HARI,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2590.0,TON PER HARI,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1124.5,TON PER HARI,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,250.23,TON PER HARI,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,620.55,TON PER HARI,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,172.82,TON PER HARI,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,1575.73,TON PER HARI,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,245.0,TON PER HARI,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,2060.7,TON PER HARI,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,1469.77,TON PER HARI,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,267.74,TON PER HARI,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,291.6,TON PER HARI,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,100.67,TON PER HARI,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,2977.0,TON PER HARI,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1006.0,TON PER HARI,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1117.0,TON PER HARI,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1355.0,TON PER HARI,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,1151.0,TON PER HARI,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,754.0,TON PER HARI,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,564.0,TON PER HARI,2020
