id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,satuan,tahun
74,32,JAWA BARAT,3272,KOTA SUKABUMI,2,KEJADIAN,2014
75,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2014
76,32,JAWA BARAT,3274,KOTA CIREBON,2,KEJADIAN,2014
77,32,JAWA BARAT,3275,KOTA BEKASI,1,KEJADIAN,2014
78,32,JAWA BARAT,3276,KOTA DEPOK,2,KEJADIAN,2014
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2014
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,KEJADIAN,2014
81,32,JAWA BARAT,3279,KOTA BANJAR,1,KEJADIAN,2014
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,5,KEJADIAN,2015
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6,KEJADIAN,2015
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3,KEJADIAN,2015
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,KEJADIAN,2015
86,32,JAWA BARAT,3205,KABUPATEN GARUT,5,KEJADIAN,2015
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,KEJADIAN,2015
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3,KEJADIAN,2015
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3,KEJADIAN,2015
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,KEJADIAN,2015
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3,KEJADIAN,2015
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3,KEJADIAN,2015
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2015
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,KEJADIAN,2015
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KEJADIAN,2015
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KEJADIAN,2015
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,KEJADIAN,2015
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,KEJADIAN,2015
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1,KEJADIAN,2015
100,32,JAWA BARAT,3271,KOTA BOGOR,0,KEJADIAN,2015
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KEJADIAN,2015
102,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2015
103,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2015
104,32,JAWA BARAT,3275,KOTA BEKASI,1,KEJADIAN,2015
105,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2015
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2015
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,KEJADIAN,2015
108,32,JAWA BARAT,3279,KOTA BANJAR,0,KEJADIAN,2015
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,18,KEJADIAN,2016
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19,KEJADIAN,2016
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7,KEJADIAN,2016
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,45,KEJADIAN,2016
