id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_hutan_rakyat,satuan,tahun
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9271.25,HEKTAR,2012
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,HEKTAR,2012
73,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2012
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2012
75,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2012
76,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2012
77,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2012
78,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2012
79,32,JAWA BARAT,3277,KOTA CIMAHI,100.0,HEKTAR,2012
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4915.6,HEKTAR,2012
81,32,JAWA BARAT,3279,KOTA BANJAR,1733.2,HEKTAR,2012
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,16128.99,HEKTAR,2013
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,63410.32,HEKTAR,2013
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,46.42,HEKTAR,2013
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15903.3,HEKTAR,2013
86,32,JAWA BARAT,3205,KABUPATEN GARUT,22985.53,HEKTAR,2013
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,43027.46,HEKTAR,2013
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.0,HEKTAR,2013
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23976.17,HEKTAR,2013
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,13346.1,HEKTAR,2013
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11360.0,HEKTAR,2013
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14812.63,HEKTAR,2013
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9061.41,HEKTAR,2013
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,16716.2,HEKTAR,2013
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1250.0,HEKTAR,2013
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2319.8,HEKTAR,2013
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,888.44,HEKTAR,2013
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1285.0,HEKTAR,2013
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,59586.34,HEKTAR,2013
100,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2013
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2013
102,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2013
103,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2013
104,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2013
105,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2013
106,32,JAWA BARAT,3277,KOTA CIMAHI,55.0,HEKTAR,2013
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4673.3,HEKTAR,2013
108,32,JAWA BARAT,3279,KOTA BANJAR,1733.2,HEKTAR,2013
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,16354.76,HEKTAR,2014
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,34125.3,HEKTAR,2014
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,48474.72,HEKTAR,2014
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.0,HEKTAR,2014
113,32,JAWA BARAT,3205,KABUPATEN GARUT,30919.41,HEKTAR,2014
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,HEKTAR,2014
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,27420.16,HEKTAR,2014
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23976.17,HEKTAR,2014
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,13925.0,HEKTAR,2014
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12038.0,HEKTAR,2014
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,HEKTAR,2014
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,HEKTAR,2014
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,17541.2,HEKTAR,2014
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7471.0,HEKTAR,2014
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2509.8,HEKTAR,2014
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,888.44,HEKTAR,2014
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1285.0,HEKTAR,2014
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,59586340.0,HEKTAR,2014
127,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2014
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2014
129,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2014
130,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2014
131,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2014
132,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2014
133,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2014
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4556.7,HEKTAR,2014
135,32,JAWA BARAT,3279,KOTA BANJAR,1733.2,HEKTAR,2014
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,17326.12,HEKTAR,2015
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,40257.81,HEKTAR,2015
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,48288.42,HEKTAR,2015
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20783.3,HEKTAR,2015
140,32,JAWA BARAT,3205,KABUPATEN GARUT,35301.91,HEKTAR,2015
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,47150.04,HEKTAR,2015
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,27420.16,HEKTAR,2015
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23976.17,HEKTAR,2015
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,15841.0,HEKTAR,2015
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12127.11,HEKTAR,2015
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,HEKTAR,2015
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,HEKTAR,2015
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,18104.2,HEKTAR,2015
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7531.0,HEKTAR,2015
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2742.5,HEKTAR,2015
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,974.68,HEKTAR,2015
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1285.0,HEKTAR,2015
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,33136.0,HEKTAR,2015
154,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2015
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2015
156,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2015
157,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2015
158,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2015
159,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2015
160,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2015
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4556.7,HEKTAR,2015
162,32,JAWA BARAT,3279,KOTA BANJAR,1733.2,HEKTAR,2015
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,17326.12,HEKTAR,2016
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,42270.0,HEKTAR,2016
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,48568.96,HEKTAR,2016
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20783.3,HEKTAR,2016
167,32,JAWA BARAT,3205,KABUPATEN GARUT,38286.91,HEKTAR,2016
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,46986.79,HEKTAR,2016
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,27420.16,HEKTAR,2016
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23976.17,HEKTAR,2016
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,15841.0,HEKTAR,2016
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12127.11,HEKTAR,2016
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14812.63,HEKTAR,2016
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9061.41,HEKTAR,2016
